"geneid"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"change"
"Myo81F"	1.58666002671314	-1.82276541540205	1.52496368266743	-1.19528447537433	0.23197590320876	NA	"downregulated"
"lncRNA:CR46123"	106.919947800061	-0.769464829871286	0.350792124589877	-2.19350656965544	0.0282709017771836	0.269689523532344	"unchanged"
"spok"	146.382525121003	-0.253072183072776	0.238115904675648	-1.06281091730307	0.287867707599294	0.849271327689598	"unchanged"
"Parp"	301.360303657837	-0.0561219078983477	0.299845156215959	-0.187169633175354	0.85152763328212	0.996185197594345	"unchanged"
"Alg-2"	524.527774584122	0.138675614090022	0.16372249286207	0.847016263103513	0.396986056671921	0.916086203385185	"unchanged"
"Tim17b"	2521.55644758022	0.0528611524120527	0.0941550045273802	0.561426901070147	0.574506549578723	0.971118061548558	"unchanged"
"CG41128"	1142.54073357981	-0.0770332467141683	0.123032025808815	-0.626123533346301	0.531233917513696	0.959120127940555	"unchanged"
"CG41099"	944.391386682914	-0.270068097429545	0.125265335159789	-2.15596834579212	0.0310861369539012	0.288448583083341	"unchanged"
"CG42402"	37.7834131658068	-0.375873373513733	0.488763132265889	-0.769029717464975	0.441875669076015	0.928999399301975	"unchanged"
"Gfat1"	868.672372425607	0.0352443988264101	0.226345179879003	0.155710843258295	0.876260949745079	0.998177833534809	"unchanged"
"CG40198"	433.397630264531	0.581990182158622	0.20081050233298	2.89820589758586	0.0037530411554171	0.0618398826744862	"unchanged"
"lncRNA:CR46431"	1.21538510591159	1.43769784051682	2.04258238668236	0.703862840436994	0.481518194770682	NA	"upregulated"
"CG12581"	571.195650139162	-0.247141643468238	0.227225097101445	-1.08765117331164	0.276749130481179	0.839745199213958	"unchanged"
"CR33294"	0.813083977565024	1.62299366496921	2.03040426003748	0.799345084578992	0.424090343489757	NA	"upregulated"
"Dsk"	4.83642731788647	0.278878112935538	0.761497052653447	0.366223496156397	0.714198310851789	0.991610826140207	"unchanged"
"beta-Man"	1093.77387115651	-0.0406371076874135	0.127298135991634	-0.319227829778153	0.749553754990712	0.993684561243802	"unchanged"
"CG14636"	34.5002366272523	-1.20835487625747	0.684665709068302	-1.76488300823742	0.0775834299759502	0.496305765287328	"downregulated"
"aux"	583.117073868073	-0.0316907507694565	0.108952130068989	-0.290868574569305	0.771151836509245	0.994330060468377	"unchanged"
"DhpD"	1133.89518142052	0.0213488636725318	0.106526974761628	0.200408053643722	0.84116146136037	0.996185197594345	"unchanged"
"CG14641"	618.784900703167	-0.0324371358871431	0.0998751227511126	-0.324776931368344	0.74534990500014	0.992645639295372	"unchanged"
"abs"	116.894086471698	-0.240017076385938	0.191340858565177	-1.25439531413089	0.209698354901867	0.771037206615841	"unchanged"
"Gel"	11447.6561246576	-0.260018102001502	0.129071182493616	-2.01453257790028	0.0439536480698848	0.356546756989324	"unchanged"
"asRNA:CR46255"	1.68883559625612	0.652310492139707	2.31371829346885	0.281931682859164	0.777995895127647	NA	"unchanged"
